Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1354;21899;"Nonprofit Management and Leadership";journal;"10486682, 15427854";"John Wiley and Sons Inc";No;No;1,208;Q1;69;56;123;4008;515;109;3,49;71,57;48,65;0;11;United States;Northern America;"John Wiley and Sons Inc";"1990-2025";"Strategy and Management (Q1)";"Business, Management and Accounting"
1355;21100979312;"JCO Global Oncology";journal;"26878941";"Lippincott Williams and Wilkins Ltd.";Yes;No;1,207;Q2;45;229;494;7776;1377;450;2,50;33,96;44,29;0;198;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2020-2025";"Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1356;16790;"Journal of Pain and Symptom Management";journal;"18736513, 08853924";"Elsevier Inc.";No;No;1,205;Q1;171;271;903;8769;2918;831;3,00;32,36;58,67;1;130;United States;Northern America;"Elsevier Inc.";"1986-2025";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)";"Medicine; Nursing"
1357;110112;"Journal of Immunotherapy";journal;"15249557, 15374513";"Lippincott Williams and Wilkins";No;No;1,203;Q1;108;54;148;1559;426;148;2,78;28,87;42,06;0;51;United States;Northern America;"Lippincott Williams and Wilkins";"1991-2025";"Pharmacology (Q1); Cancer Research (Q2); Immunology (Q2); Immunology and Allergy (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1358;36099;"Archives of Pathology and Laboratory Medicine";journal;"15432165, 00039985";"College of American Pathologists";No;No;1,202;Q1;143;186;546;8042;1735;469;3,19;43,24;49,39;0;87;United States;Northern America;"College of American Pathologists";"1973-2025";"Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)";"Health Professions; Medicine"
1359;28792;"Cancer Biology and Therapy";journal;"15384047, 15558576";"Taylor and Francis Ltd.";Yes;No;1,202;Q1;134;112;208;5983;885;206;4,71;53,42;41,20;0;104;United States;Northern America;"Taylor and Francis Ltd.";"2002-2025";"Pharmacology (Q1); Cancer Research (Q2); Molecular Medicine (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1360;5700165635;"Journal of Elections, Public Opinion and Parties";journal;"17457289";"Routledge";No;No;1,202;Q1;38;83;157;4288;430;119;1,67;51,66;27,78;5;26;United States;Northern America;"Routledge";"2010-2025";"Sociology and Political Science (Q1)";"Social Sciences"
1361;15481;"Journal of Experimental Psychology: Human Perception and Performance";journal;"00961523, 19391277";"American Psychological Association";No;No;1,202;Q1;167;80;295;5439;769;295;2,61;67,99;38,31;0;0;United States;Northern America;"American Psychological Association";"1975-2025";"Arts and Humanities (miscellaneous) (Q1); Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)";"Arts and Humanities; Medicine; Neuroscience; Psychology"
1362;13120;"Seminars in Oncology";journal;"00937754, 15328708";"W.B. Saunders";No;No;1,202;Q1;149;20;117;1191;375;113;2,23;59,55;47,46;0;16;United States;Northern America;"W.B. Saunders";"1974-2025";"Hematology (Q1); Oncology (Q2)";"Medicine"
1363;21100854641;"IEEE Transactions on Signal and Information Processing over Networks";journal;"2373776X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,201;Q1;44;75;206;3422;980;206;5,13;45,63;30,23;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Signal Processing (Q1)";"Computer Science"
1364;19569;"Annals of Epidemiology";journal;"18732585, 10472797";"Elsevier Inc.";No;No;1,200;Q1;145;107;442;4227;1295;426;2,47;39,50;57,78;1;80;United States;Northern America;"Elsevier Inc.";"1990-2025";"Epidemiology (Q1)";"Medicine"
1365;16665;"Journal of Biological Rhythms";journal;"15524531, 07487304";"SAGE Publications Inc.";No;No;1,200;Q1;118;45;142;3225;472;122;3,23;71,67;49,76;0;6;United States;Northern America;"SAGE Publications Inc.";"1986-2025";"Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1366;18965;"Molecular Phylogenetics and Evolution";journal;"10959513, 10557903";"Academic Press Inc.";No;No;1,200;Q1;183;171;677;16027;2556;671;3,58;93,73;32,34;0;28;United States;Northern America;"Academic Press Inc.";"1992-2025";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q2); Molecular Biology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1367;21101028072;"Open Mind";journal;"24702986";"";Yes;Yes;1,198;Q1;12;49;75;3794;200;75;2,30;77,43;44,20;0;2;United States;Northern America;"";"2018-2024";"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2)";"Neuroscience; Psychology; Social Sciences"
1368;21101186976;"PNAS Nexus";journal;"27526542";"National Academy of Sciences";Yes;No;1,198;Q1;21;599;670;34014;2451;663;3,66;56,78;33,56;18;195;United States;Northern America;"National Academy of Sciences";"2022-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
1369;78019;"American Ethnologist";journal;"00940496, 15481425";"Wiley-Blackwell";No;No;1,197;Q1;101;63;129;2706;305;121;1,90;42,95;56,00;0;16;United States;Northern America;"Wiley-Blackwell";"1974-2025";"Anthropology (Q1)";"Social Sciences"
1370;25055;"Mathematical Research Letters";journal;"10732780, 1945001X";"International Press, Inc.";No;No;1,197;Q1;62;64;233;1834;200;233;0,64;28,66;17,80;0;0;United States;Northern America;"International Press, Inc.";"1996-2024";"Mathematics (miscellaneous) (Q1)";"Mathematics"
1371;21100855741;"Sociological Science";journal;"23306696";"Society for Sociological Science";Yes;No;1,197;Q1;45;39;70;2947;181;70;2,02;75,56;36,21;0;23;United States;Northern America;"Society for Sociological Science";"2014-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
1372;29253;"Nursing Outlook";journal;"15283968, 00296554";"Elsevier Inc.";No;No;1,195;Q1;76;149;408;5440;1267;308;2,77;36,51;77,73;1;54;United States;Northern America;"Elsevier Inc.";"1953-2025";"Nursing (miscellaneous) (Q1)";"Nursing"
1373;21101097345;"ACS Bio and Med Chem Au";journal;"26942437";"American Chemical Society";Yes;No;1,193;Q1;15;34;105;1934;426;101;4,08;56,88;44,62;0;11;United States;Northern America;"American Chemical Society";"2021-2025";"Biochemistry (Q1); Drug Discovery (Q1); Pharmaceutical Science (Q1); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
1374;19804;"CIRP Annals";journal;"00078506, 17260604";"Elsevier Inc.";No;No;1,193;Q1;194;125;400;4783;1966;400;4,59;38,26;17,89;1;57;United States;Northern America;"Elsevier Inc.";"1964, 1969-2024";"Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)";"Engineering"
1375;21100944557;"Health Equity";journal;"24731242";"Mary Ann Liebert Inc.";Yes;No;1,191;Q1;32;96;319;3308;882;306;2,41;34,46;73,67;0;83;United States;Northern America;"Mary Ann Liebert Inc.";"2017-2025";"Health Information Management (Q1); Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Health Professions; Medicine; Social Sciences"
1376;24469;"Child Maltreatment";journal;"10775595";"SAGE Publications Inc.";No;No;1,190;Q1;102;96;177;4825;744;163;3,49;50,26;71,50;5;87;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
1377;21100197766;"Chinese Sociological Review";journal;"21620555, 21620563";"M.E. Sharpe Inc.";No;No;1,189;Q1;33;35;62;2243;251;62;3,56;64,09;51,19;0;25;United States;Northern America;"M.E. Sharpe Inc.";"2011-2025";"Anthropology (Q1); Demography (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
1378;23450;"Chinese Journal of Chemistry";journal;"16147065, 1001604X";"John Wiley and Sons Inc";No;No;1,188;Q1;65;372;1090;22587;5438;1081;5,29;60,72;39,12;0;83;United States;Northern America;"John Wiley and Sons Inc";"1990-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
1379;19200157106;"Journal of Addiction Medicine";journal;"19320620, 19353227";"Lippincott Williams and Wilkins Ltd.";No;No;1,188;Q1;63;180;520;4904;1398;470;2,65;27,24;57,94;0;144;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2007-2025";"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine"
1380;19889;"Journal of Strength and Conditioning Research";journal;"10648011, 15334287";"NSCA National Strength and Conditioning Association";Yes;No;1,188;Q1;174;384;1383;15799;4461;1380;3,12;41,14;21,23;0;12;United States;Northern America;"NSCA National Strength and Conditioning Association";"1987-2025";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
1381;29264;"Clinical Colorectal Cancer";journal;"15330028, 19380674";"Elsevier Inc.";No;No;1,187;Q1;67;45;209;1874;614;197;2,95;41,64;36,22;0;43;United States;Northern America;"Elsevier Inc.";"2001-2025";"Gastroenterology (Q1); Oncology (Q2)";"Medicine"
1382;23832;"Journal of Cardiovascular Electrophysiology";journal;"15408167, 10453873";"John Wiley and Sons Inc";No;No;1,187;Q1;154;348;1248;7163;2531;920;1,95;20,58;20,68;2;62;United States;Northern America;"John Wiley and Sons Inc";"1990-2025";"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)";"Medicine"
1383;5800173377;"ACM Transactions on Knowledge Discovery from Data";journal;"15564681";"Association for Computing Machinery (ACM)";No;No;1,186;Q1;77;203;408;12408;2454;407;5,38;61,12;29,93;1;16;United States;Northern America;"Association for Computing Machinery (ACM)";"2007-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
1384;12005;"Journal of Traumatic Stress";journal;"15736598, 08949867";"Wiley-Blackwell";No;No;1,185;Q1;161;102;373;4809;1223;354;2,73;47,15;61,54;0;36;United States;Northern America;"Wiley-Blackwell";"1988-2025";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
1385;5700153461;"Management Communication Quarterly";journal;"08933189";"SAGE Publications Inc.";No;No;1,185;Q1;81;45;91;2741;345;90;4,02;60,91;58,25;0;14;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Communication (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
1386;21101021489;"Socius";journal;"23780231";"SAGE Publications Inc.";Yes;No;1,185;Q1;43;160;355;9703;1165;355;2,03;60,64;50,60;1;84;United States;Northern America;"SAGE Publications Inc.";"2015-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
1387;29994;"Appetite";journal;"01956663, 10958304";"Academic Press";No;No;1,184;Q1;190;445;1247;29246;6272;1237;4,15;65,72;67,47;6;184;United States;Northern America;"Academic Press";"1970, 1980-2025";"Nutrition and Dietetics (Q1); Psychology (miscellaneous) (Q1)";"Nursing; Psychology"
1388;5800207505;"IEEE Industrial Electronics Magazine";journal;"19324529";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,183;Q1;90;39;161;1201;629;129;3,00;30,79;15,25;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2025";"Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1)";"Engineering"
1389;5700181569;"Journal of Gambling Studies";journal;"10505350, 15733602";"Springer International Publishing AG";No;No;1,183;Q1;92;135;257;7723;844;257;3,29;57,21;43,86;0;19;United States;Northern America;"Springer International Publishing AG";"1990-2025";"Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
1390;21721;"Journal of Refractive Surgery";journal;"19382391, 1081597X";"Slack Incorporated";No;No;1,183;Q1;113;144;359;3290;992;308;2,75;22,85;36,02;0;3;United States;Northern America;"Slack Incorporated";"1995-2025";"Ophthalmology (Q1); Surgery (Q1)";"Medicine"
1391;26032;"Endocrine Practice";journal;"1530891X, 19342403";"Elsevier B.V.";No;No;1,182;Q1;107;176;517;6431;1684;452;3,46;36,54;49,95;1;105;United States;Northern America;"Elsevier B.V.";"2000-2025";"Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Endocrinology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1392;21101184726;"Immunometabolism (United States)";journal;"26330407";"Lippincott Williams and Wilkins";No;No;1,182;Q1;18;17;80;1454;241;78;3,00;85,53;39,62;0;9;United States;Northern America;"Lippincott Williams and Wilkins";"2019-2025";"Endocrinology, Diabetes and Metabolism (Q1); Immunology and Allergy (Q2)";"Medicine"
1393;19700182654;"Project Management Journal";journal;"19389507, 87569728";"SAGE Publications Inc.";No;No;1,180;Q1;68;73;125;6147;821;110;5,49;84,21;30,20;0;12;United States;Northern America;"SAGE Publications Inc.";"1986, 2000, 2010-2025";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
1394;14200154736;"Food and Bioprocess Technology";journal;"19355149, 19355130";"Springer";No;No;1,179;Q1;127;412;554;29051;4278;551;7,55;70,51;45,72;0;81;United States;Northern America;"Springer";"2008-2025";"Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering"
1395;21101071061;"Neurobiology of Language";journal;"26414368";"";Yes;No;1,179;Q1;18;43;79;4088;249;79;3,02;95,07;55,26;0;5;United States;Northern America;"";"2020-2024";"Linguistics and Language (Q1); Neurology (Q1)";"Neuroscience; Social Sciences"
1396;19800188022;"IEEE Transactions on Terahertz Science and Technology";journal;"2156342X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,178;Q1;78;106;237;3969;960;232;4,37;37,44;19,21;0;16;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2011-2025";"Electrical and Electronic Engineering (Q1); Radiation (Q1)";"Engineering; Physics and Astronomy"
1397;21100922610;"Journal of Professions and Organization";journal;"20518811, 20518803";"Oxford University Press";No;No;1,178;Q1;28;22;63;1297;163;63;2,29;58,95;61,22;0;1;United States;Northern America;"Oxford University Press";"2014-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
1398;18300156708;"Technical Communication Quarterly";journal;"15427625, 10572252";"Routledge";No;No;1,178;Q1;41;44;82;2235;219;81;2,45;50,80;50,00;0;21;United States;Northern America;"Routledge";"1992-1995, 1998-2000, 2005-2025";"Communication (Q1); Education (Q1)";"Social Sciences"
1399;14122;"Economic Development and Cultural Change";journal;"00130079, 15392988";"University of Chicago Press";No;Yes;1,177;Q1;88;64;124;3472;279;119;1,99;54,25;37,89;24;43;United States;Northern America;"University of Chicago Press";"1978-1979, 1982-2025";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
1400;130054;"Neurocritical Care";journal;"15560961, 15416933";"Springer";No;No;1,177;Q1;97;386;720;12871;2231;568;3,04;33,34;36,60;1;76;United States;Northern America;"Springer";"2004-2025";"Critical Care and Intensive Care Medicine (Q1); Neurology (clinical) (Q1)";"Medicine"
1401;13646;"VLDB Journal";journal;"10668888, 0949877X";"Springer New York";No;No;1,176;Q1;104;80;159;5264;876;153;5,97;65,80;24,31;0;2;United States;Northern America;"Springer New York";"1992-2025";"Hardware and Architecture (Q1); Information Systems (Q1)";"Computer Science"
1402;16867;"Biochemistry";journal;"15204995, 00062960";"American Chemical Society";No;No;1,175;Q1;281;286;976;16024;2695;954;2,64;56,03;36,06;0;55;United States;Northern America;"American Chemical Society";"1962-2025";"Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology"
1403;19700182043;"Drug Delivery and Translational Research";journal;"21903948, 2190393X";"Springer Publishing Company";No;No;1,175;Q1;71;280;563;20135;4025;550;7,12;71,91;47,84;0;122;United States;Northern America;"Springer Publishing Company";"2011-2025";"Pharmaceutical Science (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
1404;19420;"International Journal of Human-Computer Interaction";journal;"15327590, 10447318";"Taylor and Francis Ltd.";No;No;1,175;Q1;100;1135;542;88506;4659;533;8,21;77,98;40,65;5;157;United States;Northern America;"Taylor and Francis Ltd.";"1989-1995, 1999-2025";"Computer Science Applications (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1)";"Computer Science; Social Sciences"
